,time(t),ex_signal(u),system_response(y)
0,0.0,0.0,0.0
1,0.050505050505050504,0.0,0.0
2,0.10101010101010101,0.0,0.0
3,0.15151515151515152,0.0,0.0
4,0.20202020202020202,0.0,0.0
5,0.25252525252525254,1.5,0.06110970699793669
6,0.30303030303030304,1.5,0.021802470072137474
7,0.35353535353535354,1.5,0.008260923525206083
8,0.40404040404040403,1.5,0.0512177617515123
9,0.45454545454545453,1.5,0.11051170218443293
10,0.5050505050505051,1.5,0.18444428985213035
11,0.5555555555555556,1.5,0.23385798975887678
12,0.6060606060606061,1.5,0.287554698405408
13,0.6565656565656566,1.5,0.3340047880719875
14,0.7070707070707071,1.5,0.37776930947190906
15,0.7575757575757576,1.5,0.4053074603767248
16,0.8080808080808081,1.5,0.4832011445578277
17,0.8585858585858586,1.5,0.5134234246534313
18,0.9090909090909091,1.5,0.5833371108522235
19,0.9595959595959596,1.5,0.618219563029815
20,1.0101010101010102,1.5,0.6571088080748867
21,1.0606060606060606,1.5,0.6657751775586275
22,1.1111111111111112,1.5,0.7102399423808005
23,1.1616161616161615,1.5,0.7139719216656598
24,1.2121212121212122,1.5,0.7859726822614899
25,1.2626262626262625,1.5,0.8037274993058259
26,1.3131313131313131,1.5,0.8397228091952382
27,1.3636363636363635,1.5,0.8749909813759806
28,1.4141414141414141,1.5,0.8800409317682236
29,1.4646464646464645,1.5,0.8779602182343448
30,1.5151515151515151,1.5,0.8776624671131911
31,1.5656565656565655,1.5,0.9398895112609118
32,1.6161616161616161,1.5,0.9061391070301188
33,1.6666666666666667,1.5,0.9598910821417564
34,1.7171717171717171,1.5,0.9855012273929535
35,1.7676767676767677,1.5,0.9987096802554004
36,1.8181818181818181,1.5,0.9918436449307462
37,1.8686868686868687,1.5,0.9847366914567319
38,1.9191919191919191,1.5,0.9550782783510545
39,1.9696969696969697,1.5,0.9845828860156018
40,2.0202020202020203,1.5,0.9670223338433672
41,2.0707070707070705,1.5,0.965300544727121
42,2.121212121212121,1.5,1.0180443965780999
43,2.1717171717171717,1.5,1.0208558141641746
44,2.2222222222222223,1.5,0.962489205355936
45,2.2727272727272725,1.5,0.9944646706938123
46,2.323232323232323,1.5,1.0287157316374715
47,2.3737373737373737,1.5,0.9797798209275878
48,2.4242424242424243,1.5,1.014564586577124
49,2.474747474747475,1.5,0.9622417654174961
50,2.525252525252525,1.5,0.9876696791948582
51,2.5757575757575757,1.5,1.0290862359163018
52,2.6262626262626263,1.5,1.0077730060516255
53,2.676767676767677,1.5,0.9921539533503496
54,2.727272727272727,1.5,1.0161655900124464
55,2.7777777777777777,1.5,1.0051586267448234
56,2.8282828282828283,1.5,0.9729865042409561
57,2.878787878787879,1.5,0.9734474579904354
58,2.929292929292929,1.5,0.9568783938998937
59,2.9797979797979797,1.5,1.028362004862775
60,3.0303030303030303,1.5,0.9905434066367439
61,3.080808080808081,1.5,1.0283105444391776
62,3.131313131313131,1.5,0.9885140222879395
63,3.1818181818181817,1.5,1.0088470328796748
64,3.2323232323232323,1.5,0.9839753200697774
65,3.282828282828283,1.5,0.9580032999504665
66,3.3333333333333335,1.5,0.9836659717310245
67,3.3838383838383836,1.5,1.0032956014871188
68,3.4343434343434343,1.5,1.0012358243525568
69,3.484848484848485,1.5,0.9530992560206738
70,3.5353535353535355,1.5,0.997616732032467
71,3.5858585858585856,1.5,0.9764233295479618
72,3.6363636363636362,1.5,1.016149477832989
73,3.686868686868687,1.5,0.9835691650951078
74,3.7373737373737375,1.5,0.9863951538059329
75,3.7878787878787876,1.5,0.990167544202175
76,3.8383838383838382,1.5,0.9809423517253794
77,3.888888888888889,1.5,1.0164887492880514
78,3.9393939393939394,1.5,1.0067330144737519
79,3.9898989898989896,1.5,1.0218894088491761
80,4.040404040404041,1.5,0.9959323614438481
81,4.090909090909091,1.5,0.9583743792677554
82,4.141414141414141,1.5,1.0068784425592432
83,4.191919191919192,1.5,0.9622988977184934
84,4.242424242424242,1.5,1.0275316598587247
85,4.292929292929293,1.5,1.0102058405785335
86,4.343434343434343,1.5,1.0088966569342388
87,4.393939393939394,1.5,1.023641778250182
88,4.444444444444445,1.5,0.9960726088241297
89,4.494949494949495,1.5,0.9898109296457028
90,4.545454545454545,1.5,0.986518971312355
91,4.595959595959596,1.5,0.9681085708650253
92,4.646464646464646,1.5,1.0170217247676339
93,4.696969696969697,1.5,0.9959239552720064
94,4.747474747474747,1.5,0.996453941775528
95,4.797979797979798,1.5,0.9980528486830482
96,4.848484848484849,1.5,0.9639847725756107
97,4.898989898989899,1.5,0.9513498424348181
98,4.94949494949495,1.5,0.954821451409499
99,5.0,1.5,0.9628098093086452
